,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
154,2018-10-26,Binance,ETH,202.35302275695463,573.3637231396297,2018-05-30,0.17440936,149 days,0.14240393,-52.83338180654544
155,2018-11-13,Binance,ETH,211.656909248752,704.3440489654348,2017-12-15,0.14197607,333 days,0.14197607,-69.94978383651555
156,2018-11-13,Binance,ETH,211.656909248752,573.3637231396297,2018-05-30,0.17440936,167 days,0.07222392999999999,-26.123887606977775
157,2018-11-28,Binance,ETH,110.4349435886608,704.3440489654348,2017-12-15,0.14197607,348 days,0.14197607,-84.32088071861025
158,2018-11-28,Binance,ETH,110.4349435886608,573.3637231396297,2018-05-30,0.17440936,182 days,0.10735664,-49.69847833189272
159,2018-11-28,Binance,ETH,110.4349435886608,704.3440489654348,2017-12-15,0.14197607,348 days,0.14197607,-84.32088071861025
160,2018-11-28,Binance,ETH,110.4349435886608,573.3637231396297,2018-05-30,0.17440936,182 days,0.10802392999999999,-50.007386077199286
161,2020-02-12,Coinbase,ETH,261.1741106597533,704.3440489654348,2017-12-15,0.14197607,789 days,0.14197607,-62.91952618278312
162,2020-02-12,Coinbase,ETH,261.1741106597533,573.3637231396297,2018-05-30,0.17440936,623 days,0.17440936,-54.448790511263255
163,2020-02-12,Coinbase,ETH,261.1741106597533,492.6478709680344,2018-07-26,0.20298474,566 days,0.20298474,-46.98564105299876
164,2020-02-12,Coinbase,ETH,261.1741106597533,452.173946071836,2018-07-12,0.22115383,580 days,0.14926424999999993,-28.50944718290795
165,2020-12-21,Coinbase Pro,ETH,640.0486129775949,704.3440489654348,2017-12-15,0.14197607,1102 days,0.08985255,-5.777108876869187
166,2020-12-21,Coinbase Pro,ETH,640.0047936718049,704.3440489654348,2017-12-15,0.14197607,1102 days,0.14197607,-9.134634613316269
167,2020-12-21,Coinbase Pro,ETH,640.0047936718049,639.5154368778184,2020-12-21,0.005,0 days,0.005,0.0024467839699326534
168,2020-12-21,Coinbase Pro,ETH,640.0047936718049,587.794448281436,2020-12-16,0.01701275,5 days,0.01701275,0.8882415535399995
169,2020-12-21,Coinbase Pro,ETH,640.0047936718049,573.3637231396297,2018-05-30,0.17440936,936 days,0.17440936,11.622826461231547
170,2020-12-21,Coinbase Pro,ETH,640.0047936718049,492.6478709680344,2018-07-26,0.20298474,879 days,0.20298474,29.911206642224958
171,2020-12-21,Coinbase Pro,ETH,640.0047936718049,452.173946071836,2018-07-12,0.22115383,893 days,0.07142498999999997,13.415816411519298
172,2020-12-21,Coinbase Pro,ETH,640.030458885428,704.3440489654348,2017-12-15,0.14197607,1102 days,0.03656076,-2.3513537316535116
173,2020-12-21,Coinbase Pro,ETH,639.966822602447,704.3440489654348,2017-12-15,0.14197607,1102 days,0.04639303,-2.9866545939748845
174,2020-12-21,Coinbase Pro,ETH,639.9040396322927,704.3440489654348,2017-12-15,0.14197607,1102 days,0.04358466,-2.808595897181827
175,2020-12-21,Coinbase Pro,ETH,639.9843205990494,704.3440489654348,2017-12-15,0.14197607,1102 days,0.09306478,-5.989623961277418
176,2020-12-21,Coinbase Pro,ETH,639.9840692206769,704.3440489654348,2017-12-15,0.14197607,1102 days,0.07773631,-5.00310733703222
177,2020-12-26,Coinbase Pro,ETH,650.0,704.3440489654348,2017-12-15,0.14197607,1107 days,0.14197607,-7.7155545000000005
178,2020-12-26,Coinbase Pro,ETH,650.0,639.5154368778184,2020-12-21,0.005,5 days,0.005,0.05242281561090806
179,2020-12-26,Coinbase Pro,ETH,650.0,587.794448281436,2020-12-16,0.01701275,10 days,0.01701275,1.0582875000000003
180,2020-12-26,Coinbase Pro,ETH,650.0,573.3637231396297,2018-05-30,0.17440936,941 days,0.17440936,13.366084000000003
181,2020-12-26,Coinbase Pro,ETH,650.0,492.6478709680344,2018-07-26,0.20298474,884 days,0.20298474,31.94008099999999
182,2020-12-26,Coinbase Pro,ETH,650.0,452.173946071836,2018-07-12,0.22115383,898 days,0.22115383,43.74998950000002
183,2020-12-26,Coinbase Pro,ETH,650.0,340.9951468028447,2019-06-27,0.15011295,548 days,0.15011295,46.38563007774191
184,2020-12-26,Coinbase Pro,ETH,650.0,340.95074299207755,2019-06-27,0.2493505,548 days,0.08735030000000002,26.995545314419136
185,2021-01-03,Coinbase Pro,ETH,1000.0,704.3440489654348,2017-12-15,0.14197607,1115 days,0.14197607,41.97607
186,2021-01-03,Coinbase Pro,ETH,1000.0,639.5154368778184,2020-12-21,0.005,13 days,0.005,1.8024228156109081
187,2021-01-03,Coinbase Pro,ETH,1000.0,587.794448281436,2020-12-16,0.01701275,18 days,0.01701275,7.0127500000000005
188,2021-01-03,Coinbase Pro,ETH,1000.0,573.3637231396297,2018-05-30,0.17440936,949 days,0.17440936,74.40936
189,2021-01-03,Coinbase Pro,ETH,1000.0,492.6478709680344,2018-07-26,0.20298474,892 days,0.20298474,102.98473999999999
190,2021-01-03,Coinbase Pro,ETH,1000.0,452.173946071836,2018-07-12,0.22115383,906 days,0.22115383,121.15383000000001
191,2021-01-03,Coinbase Pro,ETH,1000.0,340.9951468028447,2019-06-27,0.15011295,556 days,0.15011295,98.92516257774192
192,2021-01-03,Coinbase Pro,ETH,1000.0,340.95074299207755,2019-06-27,0.2493505,556 days,0.08735030000000002,57.56815031441915
193,2021-05-10,Coinbase Pro,ETH,4130.0,2361.8,2021-04-23,0.05,17 days,0.04,70.728
